date,weekday,start_local,end_local,duration_min,timezone_offset,id,v1_id,sport_id,sport_name,score_state,strain,kilojoule,average_heart_rate,max_heart_rate,percent_recorded,distance_meter,altitude_gain_meter,altitude_change_meter,zone_zero_min,zone_one_min,zone_two_min,zone_three_min,zone_four_min,zone_five_min
2025-08-10,Sunday,2025-08-10 10:34:31,2025-08-10 10:39:11,4.672133333,+03:00,9a7eb531-5d3d-40c8-941c-40c9dd72b294,1909473490,88,ice-bath,SCORED,,,,,,,,,,,,,,
2025-08-10,Sunday,2025-08-10 20:52:23,2025-08-10 21:12:23,20,+03:00,01171c05-764e-4a22-a9d8-316391315519,1910957449,33,swimming,SCORED,5.991908,550.43695,120,155,1,,,,4.7,8.049833333,6.783333333,0.4668333333,0,0
2025-08-10,Sunday,2025-08-10 23:12:57,2025-08-10 23:22:57,9.999983333,+03:00,5ee3a078-0d70-47da-a79f-042360b5c43d,1911135703,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-11,Monday,2025-08-11 00:24:30,2025-08-11 02:00:04,95.56666667,+03:00,17a9a150-6d3c-446b-acc3-ce69011d0f78,1911286319,71,other,SCORED,11.751392,2334.8994,116,170,1,,,,37.93316667,30.89983333,16.18333333,6.7,3.866666667,0
2025-08-11,Monday,2025-08-11 17:45:41,2025-08-11 18:34:58,49.27685,+03:00,d5624ee6-e7e8-4797-92d4-f00476fc4de2,1913331551,0,running,SCORED,11.287357,1937.6189,134,176,1,,,,0.4833333333,26.76666667,13.4,4.516666667,3.85,0.2666666667
2025-08-11,Monday,2025-08-11 22:49:53,2025-08-11 23:08:53,19,+03:00,e45d3eb4-a0c5-4b6b-bbfb-e78e9a3f3ba5,1914793955,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-12,Tuesday,2025-08-12 10:00:52,2025-08-12 10:22:52,22,+03:00,ee6ee9ff-54e7-41e1-8eff-0b136c91bdcc,1914974030,44,yoga,SCORED,4.9663196,113.01941,75,94,1,,,,22.00033333,0,0,0,0,0
2025-08-13,Wednesday,2025-08-13 00:30:13,2025-08-13 00:40:13,10,+03:00,b472dc8a-73ba-45c4-b0ac-b68c7733560f,1916779944,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-13,Wednesday,2025-08-13 08:40:07,2025-08-13 09:00:07,20,+03:00,997c55ba-0a79-4635-90c1-f6d71b3676a4,1917614739,44,yoga,SCORED,4.514782,102.66631,70,95,1,,,,20.00033333,0,0,0,0,0
2025-08-13,Wednesday,2025-08-13 21:27:00,2025-08-13 22:32:59,65.98333333,+03:00,df491f25-bf12-4908-a169-2dd76ea18278,1919442004,0,running,SCORED,14.154885,3071.2585,142,187,1,,,,0.6,7.016666667,41.56666667,10.8,3.816666667,2.183333333
2025-08-14,Thursday,2025-08-14 00:30:25,2025-08-14 00:53:25,23,+03:00,8d527926-74f2-4163-9d67-77a34f8db6f7,1919602660,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-14,Thursday,2025-08-14 10:30:09,2025-08-14 10:54:09,24,+03:00,fd482bc7-60ea-4db4-90aa-02b77a2eff74,1920633701,44,yoga,SCORED,5.418798,123.197296,77,100,1,,,,24.00016667,0,0,0,0,0
2025-08-15,Friday,2025-08-15 00:14:53,2025-08-15 00:36:53,22,+03:00,55f2eb5f-71a4-498c-9c76-bb1cb5bf8299,1922320921,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-15,Friday,2025-08-15 09:48:25,2025-08-15 10:08:25,19.99998333,+03:00,e04f1e29-c261-4f1c-bb48-750ec868c650,1923240373,44,yoga,SCORED,4.514833,102.662796,71,87,1,,,,20,0,0,0,0,0
2025-08-16,Saturday,2025-08-16 10:55:06,2025-08-16 11:11:37,16.52696667,+03:00,3033631b-2d83-47b1-88f6-eebce2e6eff4,1926049396,44,yoga,SCORED,3.731019,84.86802,77,93,1,,,,16.5335,0,0,0,0,0
2025-08-16,Saturday,2025-08-16 11:11:39,2025-08-16 11:32:39,21,+03:00,6e076d0e-d219-40ab-99b1-f9ef55c397b8,1926075379,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-16,Saturday,2025-08-16 15:33:48,2025-08-16 17:07:52,94.06493333,+03:00,59b78277-00a4-4738-bc85-ca9fae540a31,1926925395,34,tennis,SCORED,17.574347,4938.389,149,181,1,,,,0.1166666667,19.74983333,9.016666667,28.78316667,35.16683333,1.233333333
2025-08-16,Saturday,2025-08-16 21:12:49,2025-08-16 22:45:38,92.80666667,+03:00,b528398a-4627-4ace-ae6f-d5ced7b8990f,1927619263,233,sauna,SCORED,,,,,,,,,,,,,,
2025-08-17,Sunday,2025-08-17 11:14:41,2025-08-17 11:34:32,19.83636667,+03:00,7d65c0e3-9e9b-4f4f-8bec-6d63a3b59d83,1928745485,44,yoga,SCORED,4.4771996,101.573875,73,99,0.99984705,,,,19.83333333,0,0,0,0,0
2025-08-17,Sunday,2025-08-17 12:38:02,2025-08-17 14:31:03,113.0221667,+03:00,6a5a449c-d69a-4e43-a3fd-2ca1e1dcc7aa,1929268431,34,tennis,SCORED,16.763458,5103.1616,141,173,0.99995136,,,,0.45,36.46683333,21.86666667,39.19983333,15.03316667,0
2025-08-18,Monday,2025-08-18 08:38:18,2025-08-18 08:52:45,14.44316667,+03:00,f4c7f057-8a98-4e5e-9564-9a7b1f8a92ff,1931136470,44,yoga,SCORED,3.2800794,73.917816,69,90,0.9993192,,,,14.43333333,0,0,0,0,0
2025-08-19,Tuesday,2025-08-19 00:07:30,2025-08-19 00:28:30,21,+03:00,d3f52fc7-cc0f-4178-8022-09205e69be23,1933136714,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-19,Tuesday,2025-08-19 09:25:53,2025-08-19 09:45:53,20,+03:00,d3d2f9e6-38a3-4bbd-a186-3fdf7946af4b,1934112578,44,yoga,SCORED,4.514838,102.42563,71,92,1,,,,20,0,0,0,0,0
2025-08-19,Tuesday,2025-08-19 20:10:32,2025-08-19 21:00:31,49.98008333,+03:00,ea49fa3d-2675-410b-9bb3-3f8e939b705e,1935643206,34,tennis,SCORED,9.242474,1572.968,124,155,0.99973154,,,,7.066666667,24.69933333,17.15,1.066666667,0,0
2025-08-19,Tuesday,2025-08-19 21:34:30,2025-08-19 21:59:59,25.4835,+03:00,7b4c9065-9c4e-4060-8eb8-64abd5f26f1b,1935828550,33,swimming,SCORED,6.4385967,700.2187,120,147,0.99999344,,,,5.2,14.88333333,5.400166667,0,0,0
2025-08-20,Wednesday,2025-08-20 09:57:55,2025-08-20 10:13:55,16,+03:00,90020ca9-e997-4fbc-84d7-6d16e147fd2f,1937040234,44,yoga,SCORED,3.6194355,81.93978,71,92,1,,,,16,0,0,0,0,0
2025-08-20,Wednesday,2025-08-20 17:04:24,2025-08-20 18:01:06,56.69466667,+03:00,43b3f15c-9466-4fc5-aa4e-209a2177e9fd,1938199782,0,running,SCORED,9.531297,1747.3485,124,148,1,,,,4.216666667,39.6,12.88333333,0,0,0
